ID,time,Observation,Observation_simBlq,popPred,indivPredMean,indivPredMode,censored,split,color,filter
36,28,748.5,748.5,27.2321,24.0488,23.5287,0,All,#4682B4,0
36,32,1008.22,1008.22,43.6553,37.8727,36.9381,0,All,#4682B4,0
36,33,1202.47,1202.47,49.1224,42.4268,41.3474,0,All,#4682B4,0
36,34,1290.37,1290.37,55.2726,47.5284,46.2832,0,All,#4682B4,0
37,11,126.3,126.3,3.66351,3.77547,3.72729,0,All,#4682B4,0
37,12,122.66,122.66,4.12295,4.2606,4.20131,0,All,#4682B4,0
37,13,171.06,171.06,4.63991,4.80796,4.73552,0,All,#4682B4,0
37,14,163.95,163.95,5.22094,5.42486,5.33689,0,All,#4682B4,0
37,17,297.03,297.03,7.43817,7.79242,7.63924,0,All,#4682B4,0
37,18,464.41,464.41,8.36956,8.79221,8.60931,0,All,#4682B4,0
37,19,522.28,522.28,9.41765,9.92028,9.7026,0,All,#4682B4,0
37,20,602.73,602.73,10.5968,11.193,10.9346,0,All,#4682B4,0
37,25,786.51,786.51,19.1146,20.4682,19.8792,0,All,#4682B4,0
37,26,1069.2,1069.2,21.5082,23.0947,22.4039,0,All,#4682B4,0
37,27,948.56,948.56,24.2019,26.0581,25.2492,0,All,#4682B4,0
37,28,1042.96,1042.96,27.2321,29.401,28.4551,0,All,#4682B4,0
37,32,1250.61,1250.61,43.6553,47.6515,45.9033,0,All,#4682B4,0
37,33,1353.69,1353.69,49.1224,53.765,51.7326,0,All,#4682B4,0
37,34,1514.43,1514.43,55.2726,60.663,58.3013,0,All,#4682B4,0
38,11,109.08,109.08,3.66351,3.70626,3.70411,0,All,#4682B4,0
38,12,161.68,161.68,4.12295,4.17546,4.17282,0,All,#4682B4,0
38,13,275.71,275.71,4.63991,4.70396,4.70074,0,All,#4682B4,0
38,14,231.21,231.21,5.22094,5.2986,5.29469,0,All,#4682B4,0
38,17,299.63,299.63,7.43817,7.57274,7.56595,0,All,#4682B4,0
38,18,455.69,455.69,8.36956,8.52997,8.52188,0,All,#4682B4,0
38,19,540,540,9.41765,9.60826,9.59863,0,All,#4682B4,0
38,20,713.76,713.76,10.5968,10.8227,10.8113,0,All,#4682B4,0
38,25,723.82,723.82,19.1146,19.6253,19.5994,0,All,#4682B4,0
38,26,819.05,819.05,21.5082,22.1063,22.0759,0,All,#4682B4,0
38,27,791.57,791.57,24.2019,24.901,24.8656,0,All,#4682B4,0
