ID,time,pop,popPred,indivPredMean,indivPredMode
2,26.3349,22.3735,22.3735,27.7813,26.3112
2,26.4,22.546,22.546,28.0105,26.5246
2,26.414,22.5831,22.5831,28.0599,26.5707
2,26.48,22.7598,22.7598,28.2947,26.7894
2,26.4933,22.7954,22.7954,28.3421,26.8335
2,26.56,22.9756,22.9756,28.5818,27.0567
2,26.5728,23.0104,23.0104,28.6279,27.0997
2,26.64,23.1935,23.1935,28.8717,27.3267
2,26.6526,23.228,23.228,28.9176,27.3694
2,26.72,23.4135,23.4135,29.1647,27.5994
2,26.7326,23.4483,23.4483,29.211,27.6426
2,26.8,23.6355,23.6355,29.4606,27.8748
2,26.8128,23.6713,23.6713,29.5083,27.9193
2,26.88,23.8596,23.8596,29.7595,28.153
2,26.8933,23.8971,23.8971,29.8096,28.1996
2,26.96,24.0858,24.0858,30.0615,28.434
2,26.9741,24.1258,24.1258,30.1149,28.4837
2,27,24.1998,24.1998,30.2136,28.5755
2,27.04,24.3142,24.3142,30.3665,28.7178
2,27.055,24.3574,24.3574,30.4242,28.7714
2,27.12,24.5448,24.5448,30.6747,29.0044
2,27.1363,24.5919,24.5919,30.7377,29.063
2,27.2,24.7775,24.7775,30.986,29.2939
2,27.2177,24.8294,24.8294,31.0554,29.3584
2,27.28,25.0125,25.0125,31.3005,29.5863
2,27.2994,25.0699,25.0699,31.3773,29.6578
2,27.36,25.2497,25.2497,31.6181,29.8816
2,27.3814,25.3135,25.3135,31.7036,29.961
2,27.44,25.4892,25.4892,31.939,30.1799
2,27.4636,25.5602,25.5602,32.0342,30.2684
2,27.52,25.7309,25.7309,32.2631,30.4811
2,27.546,25.81,25.81,32.3693,30.5798
2,27.6,25.9749,25.9749,32.5905,30.7854
2,27.6287,26.0631,26.0631,32.7089,30.8954
2,27.68,26.2213,26.2213,32.9212,31.0926
2,27.7117,26.3194,26.3194,33.0531,31.2151
2,27.76,26.47,26.47,33.2553,31.403
2,27.7949,26.5791,26.5791,33.4019,31.5392
2,27.84,26.721,26.721,33.5927,31.7164
2,27.8783,26.8421,26.8421,33.7555,31.8676
2,27.92,26.9744,26.9744,33.9336,32.0329
2,27.962,27.1084,27.1084,34.1139,32.2004
2,28,27.2303,27.2303,34.2779,32.3526
2,28.0459,27.3783,27.3783,34.4771,32.5376
2,28.08,27.4885,27.4885,34.6256,32.6755
2,28.1301,27.6516,27.6516,34.8454,32.8794
2,28.16,27.7492,27.7492,34.977,33.0015
2,28.2146,27.9284,27.9284,35.2187,33.2259
2,28.24,28.0123,28.0123,35.3319,33.3309
2,28.2993,28.2089,28.2089,35.5972,33.577
2,28.32,28.2779,28.2779,35.6904,33.6635
2,28.3842,28.493,28.493,35.9809,33.933
2,28.4,28.5461,28.5461,36.0526,33.9995
2,28.4694,28.7809,28.7809,36.3699,34.2939
2,28.48,28.8167,28.8167,36.4184,34.3388
2,28.5549,29.0725,29.0725,36.7644,34.6597
2,28.56,29.09,29.09,36.788,34.6815
2,28.64,29.3658,29.3658,37.1613,35.0277
2,28.6406,29.368,29.368,37.1643,35.0305
2,28.72,29.6443,29.6443,37.5385,35.3773
2,28.7266,29.6674,29.6674,37.5698,35.4064
2,28.8,29.9254,29.9254,37.9194,35.7305
2,28.8129,29.9708,29.9708,37.981,35.7875
2,28.88,30.2092,30.2092,38.3042,36.0871
2,28.8994,30.2783,30.2783,38.3979,36.1739
2,28.96,30.4957,30.4957,38.693,36.4473
2,28.9861,30.5898,30.5898,38.8207,36.5657
2,29.04,30.7849,30.7849,39.0856,36.8111
2,29.0731,30.9055,30.9055,39.2494,36.9628
2,29.12,31.0769,31.0769,39.4822,37.1785
2,29.1604,31.2254,31.2254,39.6841,37.3655
2,29.2,31.3717,31.3717,39.8829,37.5496
2,29.2479,31.5497,31.5497,40.1249,37.7738
2,29.28,31.6692,31.6692,40.2875,37.9244
2,29.3358,31.8782,31.8782,40.5719,38.1877
2,29.36,31.9695,31.9695,40.6963,38.3028
2,29.4238,32.2112,32.2112,41.0253,38.6075
2,29.44,32.2727,32.2727,41.1091,38.6851
2,29.5122,32.5487,32.5487,41.4851,39.033
2,29.52,32.5788,32.5788,41.5262,39.0711
2,29.6,32.8878,32.8878,41.9475,39.461
2,29.6007,32.8907,32.8907,41.9515,39.4646
2,29.68,33.1996,33.1996,42.3731,39.8547
2,29.6896,33.2373,33.2373,42.4245,39.9023
2,29.76,33.5145,33.5145,42.803,40.2524
2,29.7787,33.5886,33.5886,42.9044,40.3462
2,29.84,33.8322,33.8322,43.2373,40.6541
2,29.8681,33.9447,33.9447,43.3911,40.7964
2,29.92,34.153,34.153,43.676,41.0598
2,29.9578,34.3056,34.3056,43.8848,41.2529
2,30,34.4768,34.4768,44.1191,41.4696
2,30.0477,34.6715,34.6715,44.3857,41.716
2,30.08,34.8037,34.8037,44.5668,41.8834
2,30.1379,35.0424,35.0424,44.8939,42.1857
2,30.16,35.1337,35.1337,45.019,42.3014
2,30.2284,35.4184,35.4184,45.4094,42.6622
2,30.24,35.4668,35.4668,45.4758,42.7235
2,30.3192,35.7996,35.7996,45.9324,43.1454
2,30.32,35.8031,35.8031,45.9372,43.1499
2,30.4,36.1426,36.1426,46.4033,43.5805
2,30.4102,36.1861,36.1861,46.463,43.6357
2,30.48,36.4853,36.4853,46.8742,44.0155
2,30.5015,36.5779,36.5779,47.0014,44.133
2,30.56,36.8313,36.8313,47.3498,44.4548
2,30.593,36.9752,36.9752,47.5477,44.6375
2,30.64,37.1805,37.1805,47.8303,44.8984
2,30.6849,37.378,37.378,48.102,45.1493
2,30.72,37.5331,37.5331,48.3157,45.3465
2,30.777,37.7864,37.7864,48.6645,45.6685
2,30.8,37.889,37.889,48.8059,45.7991
2,30.8694,38.2005,38.2005,49.2353,46.1954
2,30.88,38.2483,38.2483,49.3012,46.2562
2,30.96,38.611,38.611,49.8015,46.7179
2,30.9621,38.6204,38.6204,49.8145,46.7299
2,31.04,38.9772,38.9772,50.3068,47.1841
2,31.055,39.0463,39.0463,50.4023,47.2722
2,31.12,39.3468,39.3468,50.8173,47.6551
2,31.1482,39.4781,39.4781,50.9988,47.8225
2,31.2,39.7199,39.7199,51.333,48.1307
2,31.2418,39.9161,39.9161,51.6042,48.3808
2,31.28,40.0966,40.0966,51.8539,48.6111
2,31.3355,40.3602,40.3602,52.2186,48.9474
2,31.36,40.4768,40.4768,52.38,49.0962
2,31.4296,40.8106,40.8106,52.8423,49.5224
2,31.44,40.8607,40.8607,52.9116,49.5862
2,31.52,41.2482,41.2482,53.4485,50.0811
2,31.524,41.2675,41.2675,53.4752,50.1058
2,31.6,41.6393,41.6393,53.9908,50.581
2,31.6186,41.7308,41.7308,54.1177,50.6979
2,31.68,42.0342,42.0342,54.5386,51.0858
2,31.7135,42.2008,42.2008,54.7699,51.2988
2,31.76,42.4328,42.4328,55.092,51.5956
2,31.8087,42.6775,42.6775,55.4318,51.9087
2,31.84,42.8352,42.8352,55.651,52.1105
2,31.9042,43.161,43.161,56.1038,52.5276
2,31.92,43.2415,43.2415,56.2156,52.6306
2,32,43.6515,43.6515,56.786,53.1558
3,22,13.4131,13.4131,13.481,13.4827
3,22.066,13.5188,13.5188,13.5875,13.5891
3,22.08,13.5411,13.5411,13.61,13.6116
3,22.1323,13.6249,13.6249,13.6944,13.6961
3,22.16,13.6695,13.6695,13.7393,13.741
3,22.1987,13.7321,13.7321,13.8023,13.8041
3,22.24,13.7991,13.7991,13.8698,13.8716
3,22.2654,13.8405,13.8405,13.9115,13.9132
3,22.32,13.93,13.93,14.0016,14.0034
3,22.3322,13.9501,13.9501,14.0219,14.0236
3,22.3993,14.0609,14.0609,14.1334,14.1352
3,22.4,14.0621,14.0621,14.1347,14.1365
3,22.4665,14.1729,14.1729,14.2462,14.248
3,22.48,14.1955,14.1955,14.269,14.2708
3,22.5339,14.2861,14.2861,14.3603,14.3621
3,22.56,14.3301,14.3301,14.4046,14.4064
