ID,time,Observation,median,piLower,piUpper,censored
45,19,348.97,-14.1187,-573.946,601.97,0
46,11,46.49,5.0663,-213.368,222.512,0
46,12,66.25,12.448,-251.33,249.202,0
46,13,98.22,-2.58547,-307.103,286.638,0
46,14,62.38,1.25449,-331.092,338.192,0
46,17,202.95,-16.1922,-445.668,449.01,0
46,18,260.8,13.8452,-480.905,591.382,0
46,19,336.37,2.03766,-619.266,609.173,0
47,11,41.5,1.98259,-205.519,215.948,0
47,12,76.5,-11.7874,-263.21,240.209,0
47,13,80.22,-1.51334,-286.291,292.63,0
47,14,71.35,37.6488,-286.623,343.023,0
47,17,174.07,25.5947,-466.812,455.379,0
47,18,218.51,8.57042,-474.247,523.88,0
47,19,190.31,-3.07383,-541.596,586.209,0
48,11,71.77,9.49782,-240.398,230.189,0
48,12,202.71,6.45985,-245.723,280.507,0
48,13,88.7,2.04017,-274.539,301.162,0
48,14,245.32,7.88386,-334.273,327.165,0
48,17,361.87,25.6377,-434.815,516.091,0
48,18,423.96,-2.57267,-516.815,547.099,0
48,19,457.06,-7.25869,-609.387,615.028,0
49,11,20.83,2.26978,-208.863,235,0
49,12,74.54,2.33324,-237.119,253.696,0
49,13,108.72,-4.27068,-263.655,281.515,0
49,14,158.14,-2.0027,-320.419,360.211,0
49,17,229.71,3.40174,-513.268,523.597,0
49,18,315.37,13.0258,-556.461,524.522,0
49,19,479.75,-0.63817,-522.275,566.628,0
50,11,132.85,9.03338,-239.65,218.832,0
50,12,102.33,8.53102,-257.549,247.663,0
50,13,173.62,10.3658,-294.001,286.636,0
50,14,159.16,6.88666,-297.95,342.153,0
50,17,338.03,13.5825,-451.075,462.523,0
50,18,365.42,7.21407,-478.613,497.849,0
50,19,572.73,24.3243,-552.434,591.997,0
51,12,114.043,-2.93399,-252.169,253.694,0
51,14,107.191,4.5785,-352.347,332.08,0
51,16,241.145,8.89665,-382.982,423.196,0
51,19,245.666,13.2018,-622.973,628.356,0
51,21,580.106,37.4581,-708.223,864.828,0
51,23,558.167,6.12257,-936.861,920.815,0
51,26,911.355,3.26966,-1411.23,1522.32,0
51,28,968.113,81.4355,-1653.89,1916.21,0
51,30,1305.24,54.5704,-2137.83,2470.53,0
51,33,1425.93,197.208,-3071.75,3652.73,0
51,34,1553.7,75.3004,-3413.11,4148.31,0
52,12,144.501,9.70636,-262.841,253.067,0
52,14,146.375,-0.90261,-321.021,320.585,0
52,16,291.248,-7.0974,-368.452,413.297,0
52,19,410.386,17.9922,-599.193,572.875,0
52,21,497.112,-32.4403,-766.424,740.947,0
52,23,718.936,6.52114,-957.021,948.412,0
52,26,962.241,13.3536,-1351.84,1348.98,0
52,28,1328.39,28.2251,-1771.47,1830.66,0
52,30,1584.22,-99.9428,-2188.73,2430.45,0
52,33,2084.68,198.452,-3598.97,3094.92,0
52,34,1934.05,25.1652,-3298.51,3750.37,0
53,12,193.473,-12.5801,-255.21,267.097,0
53,14,406.921,27.0839,-312.648,333.003,0
53,16,428.764,7.21134,-399.813,403.223,0
53,19,682.999,19.1404,-571.424,642.731,0
53,21,813.478,-21.5185,-680,867.728,0
53,23,927.814,5.55476,-996.655,887.426,0
53,26,1211.29,-1.55204,-1340.95,1373.24,0
53,28,1387.6,81.0341,-1896.07,1959.2,0
53,30,1617.71,-91.0129,-2167.49,2511,0
53,33,2013.91,71.211,-3347.9,3413.07,0
53,34,2208.09,184.633,-4015.86,3361.81,0
54,12,226.836,6.2457,-243.172,256.663,0
54,14,325.931,4.67163,-301.932,315.423,0
54,16,476.807,19.2574,-424.052,454.766,0
54,19,698.404,-15.5481,-562.7,557.756,0
54,21,913.602,-12.2056,-777.144,845.876,0
54,23,976.41,4.2103,-976.582,952.055,0
54,26,1066.99,50.3098,-1520.67,1487.59,0
54,28,1557.6,61.2319,-1615.23,1767.76,0
54,30,1494.09,77.6065,-2341.32,2518.85,0
54,33,2099.06,-85.3538,-3593.01,3222.74,0
54,34,2547.82,309.44,-3355.25,3943.08,0
55,12,119.933,14.8338,-238.548,278.201,0
55,14,139.704,-15.9735,-295.184,329.179,0
55,16,193.035,1.39341,-436.807,426.312,0
55,19,99.4873,26.2594,-552.756,646.278,0
55,21,264.638,41.0886,-763.173,773.067,0
55,23,294.349,-32.1443,-983.193,1032.72,0
55,26,456.865,-27.8153,-1325.73,1417.18,0
55,28,607.502,-54.9906,-1661.45,1673.88,0
55,30,742.495,10.9428,-2283.81,2161.12,0
55,33,953.48,81.6842,-3382.31,3436.27,0
55,34,1240.46,58.8833,-3805.72,3791.88,0
56,12,182.716,-6.71667,-265.944,271.338,0
56,14,193.741,-0.124274,-323.121,339.54,0
56,16,393.636,23.6263,-420.213,438.487,0
56,19,545.587,-0.918355,-595.194,629.075,0
56,21,691.771,-31.7907,-717.57,766.613,0
56,23,929.922,8.76352,-893.953,1050.73,0
56,26,1063.77,8.00318,-1302.19,1377.65,0
56,28,1369.19,34.1405,-1733.45,1688.43,0
56,30,1542.25,-42.5949,-1880.16,2335.02,0
56,33,1919.13,-17.0868,-3343.83,3374.07,0
56,34,1834.73,334.128,-3874.67,4029.58,0
57,12,145.251,3.85357,-273.551,238.532,0
57,14,161.978,15.9195,-323.142,321.599,0
57,16,172.664,17.1938,-399.121,449.091,0
57,19,247.5,36.6688,-545.031,629.69,0
57,21,611.5,19.9297,-729.149,741.226,0
57,23,682.208,-4.63385,-902.996,973.294,0
57,26,1047.13,93.3919,-1440.33,1442.83,0
57,28,1274.69,112.875,-1560.23,2232.92,0
57,30,1527.08,41.8733,-2539.66,2524.7,0
57,33,1711.01,18.249,-3241.09,3456.54,0
57,34,1672.88,95.0138,-3652.07,3581.52,0
58,12,138.583,3.00152,-250.859,279.445,0
58,14,210.632,8.24425,-294.078,318.399,0
58,16,344.98,-9.27795,-404.808,426.524,0
58,19,422.137,7.36925,-619.798,640.094,0
58,21,794.987,57.3857,-666.525,757.696,0
58,23,774.592,17.7269,-1068,932.617,0
58,26,1155.58,-31.4108,-1397.29,1404.82,0
58,28,1682.54,17.1973,-1823.88,1688.88,0
58,30,1867.22,25.4996,-2152.17,2321.65,0
58,33,2176.04,68.2693,-3200.43,3305.54,0
58,34,1544.13,247.668,-3917.99,4415.31,0
59,12,145.703,-0.986638,-267.713,253.467,0
59,14,170.272,19.0012,-288.038,319.215,0
59,16,354.865,10.1526,-385.366,443.205,0
59,19,556.421,-16.4558,-586.678,530.606,0
59,21,608.512,25.6459,-707.373,797.007,0
59,23,776.403,-27.224,-976.123,1102.24,0
59,26,906.278,-20.7692,-1427.54,1500.44,0
59,28,1237.37,124.212,-1596.48,1805.25,0
59,30,1740.83,93.5309,-2090.43,2393.94,0
59,33,2213.39,93.5513,-3226.56,3184.66,0
59,34,2424.85,35.6487,-3884.68,3540.7,0
60,13,155.401,2.68005,-294.135,309.329,0
60,15,298.757,-3.53838,-364.33,419.132,0
60,18,427.251,1.51991,-551.879,571.357,0
60,20,617.047,34.1332,-709.723,696.913,0
60,22,747.662,2.85124,-947.61,889.736,0
60,25,722.569,97.2575,-1083.38,1432.05,0
60,27,826.85,30.4237,-1508.07,1722.13,0
60,29,1120.75,48.3179,-2044.2,2096,0
60,32,1287.1,20.0184,-2631.74,2738,0
60,34,1496.71,-47.1722,-4080.69,3717.88,0
61,13,194.176,14.5234,-278.895,319.104,0
61,15,280.384,10.4434,-371.113,415.314,0
61,18,394.649,27.6087,-522.558,559.487,0
61,20,492.485,18.122,-721.23,724.442,0
61,22,577.519,-17.4872,-919.353,819.859,0
61,25,834.475,63.8935,-1131.71,1315.52,0
61,27,955.389,15.427,-1617.9,1658.78,0
61,29,1083.74,-73.5715,-2183.1,2108.21,0
61,32,1248.44,53.1947,-2886.98,3132.16,0
61,34,1234.36,-108.082,-4232.41,3804.19,0
62,13,152.437,14.0076,-303.756,311.222,0
62,15,221.42,-0.463483,-372.2,416.41,0
