pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
1.02756,0.690476,1.0731,0.690476,1.08934,0.690476,All
1.0291,0.692177,1.07466,0.692177,1.09395,0.692177,All
1.03114,0.693878,1.07718,0.693878,1.09874,0.693878,All
1.03131,0.695578,1.07767,0.695578,1.09957,0.695578,All
1.0332,0.697279,1.08093,0.697279,1.10025,0.697279,All
1.04081,0.69898,1.0825,0.69898,1.10211,0.69898,All
1.0415,0.70068,1.08368,0.70068,1.10262,0.70068,All
1.04284,0.702381,1.08586,0.702381,1.10354,0.702381,All
1.04572,0.704082,1.08637,0.704082,1.104,0.704082,All
1.0476,0.705782,1.08668,0.705782,1.10678,0.705782,All
1.04764,0.707483,1.09002,0.707483,1.10801,0.707483,All
1.04782,0.709184,1.09144,0.709184,1.1128,0.709184,All
1.05316,0.710884,1.09444,0.710884,1.11598,0.710884,All
1.05511,0.712585,1.09622,0.712585,1.11856,0.712585,All
1.05573,0.714286,1.09685,0.714286,1.11963,0.714286,All
1.05636,0.715986,1.097,0.715986,1.11999,0.715986,All
1.0582,0.717687,1.09747,0.717687,1.12177,0.717687,All
1.05943,0.719388,1.09878,0.719388,1.12496,0.719388,All
